index, T_sto_HT [K], T_sto_LT [K], glide_cd [K], T_DH+ [K], T_DH- [K], glide_ev [K], W_dot_cp [W], p_ev [Pa], p_cd [Pa], rp_cp [-], Q_dot_cd [W], Q_dot_ev [W], COP [-], COP_tot [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_exp [-], m_dot_r [kg/s]
64,95.0,81.0,14.0,40.0,26.0,14.0,11911.211401000239,132868.44272264428,887864.4336296172,6.682282229219668,30758.041268193614,19146.946165559228,2.5822764983929947,2.4423254605496743,0.5227047570201081,0.327254726460659,2.0,0.1659609099040386
65,95.0,81.0,14.0,45.0,31.0,14.0,11836.94624213782,158067.57906204666,897434.9953662351,5.677539952794259,34825.788485336016,23293.371832378478,2.9421261001727994,2.77615066891945,0.5918323975683488,0.3981336526285787,2.0,0.19725286576578174
66,95.0,81.0,14.0,50.0,36.0,14.0,11743.457723737096,186840.28001326253,906903.6333569005,4.853897849502932,39632.80445857302,28187.271491249485,3.3748837344952567,3.1755624416305177,0.6735232339377283,0.481720634062411,2.0,0.2327517886559729
67,95.0,81.0,14.0,55.0,41.0,14.0,11593.152767677542,220012.2715199439,913552.9036287346,4.152281585556567,45226.95287615387,33944.06149017593,3.9011780300393806,3.6578673192345885,0.7685906656980781,0.5799616284313522,2.0,0.27349851207145937
68,95.0,81.0,14.0,60.0,46.0,14.0,11419.943651398704,256990.29794255603,918875.3999871954,3.5755256417990835,51660.364973685544,40559.00704789066,4.523697012056468,4.224172481826559,0.8779206154802806,0.692741460231576,2.0,0.3187702515550753
69,95.0,81.0,14.0,65.0,51.0,14.0,11225.318705014064,297936.1520979969,922256.048383472,3.0954821759264863,59021.33668581115,48118.728439910694,5.257876256061025,4.886458868426468,1.0030135918720269,0.8214968739476952,2.0,0.3688183095628616
70,95.0,81.0,14.0,70.0,56.0,14.0,11032.57504764743,344396.6361246307,924901.403388704,2.6855703754725395,67594.57204081338,56899.53211643077,6.126817334020959,5.663349620564828,1.1487078792305216,0.970889443713206,2.0,0.4255930953034061
71,95.0,81.0,14.0,75.0,61.0,14.0,10842.15831052734,396183.5281052388,924882.6245346016,2.334480257061378,77518.15099084911,67028.70264588152,7.149697391485404,6.5687115711700255,1.3173500199513675,1.1430172055619467,2.0,0.488982481204359
72,95.0,81.0,14.0,80.0,66.0,14.0,10717.679650598104,453680.38227619114,924743.7093250445,2.0383153987956213,88931.49336573585,78583.45899702555,8.297644291017132,7.5755866176990745,1.5113093264245536,1.3391043776295921,2.0,0.559576637213887
73,100.0,86.0,14.0,40.0,26.0,14.0,13294.303213375524,133881.09897241148,986686.5749672559,7.369872092031302,31101.17139282949,18130.004003285787,2.339435989510026,2.2254827439532776,0.5279384398463299,0.3098734100740421,2.0,0.16635280719799078
74,100.0,86.0,14.0,45.0,31.0,14.0,13222.725288636004,158453.96371759666,996580.8084175148,6.289402833706723,34928.7854783823,22020.31742591516,2.641572347298262,2.507968393697255,0.5929117034940934,0.3763744241026502,2.0,0.19686863632302956
75,100.0,86.0,14.0,50.0,36.0,14.0,13143.12390809431,187280.06450736485,1007797.4077427014,5.381231635057822,39476.26763895293,26647.22361726266,3.0035680949976524,2.845049872986163,0.6701046364147547,0.45540120692049313,2.0,0.232424941483949
76,100.0,86.0,14.0,55.0,41.0,14.0,13012.732845587092,220012.27151985184,1016693.1393515598,4.621074689735308,44745.00741800332,32051.010490547702,3.4385557552714494,3.247769931379374,0.7595408259323451,0.5476173274770972,2.0,0.27261638372882974
77,100.0,86.0,14.0,60.0,46.0,14.0,12844.047879574931,256990.29794279352,1023831.6012481318,3.983930947759119,50850.72104223995,38332.67040547708,3.959088405696821,3.72661642358734,0.8631845403189726,0.6547159805936851,2.0,0.3178762223204653
78,100.0,86.0,14.0,65.0,51.0,14.0,12638.502093541714,298565.1727306985,1028771.4127794913,3.4457180767946713,57955.76446088654,45643.24213681048,4.5856513716528156,4.298769096233947,0.9837917512211809,0.7792346545285626,2.0,0.3686817299312949
79,100.0,86.0,14.0,70.0,56.0,14.0,12412.002727178588,345098.9319851853,1031835.5420314572,2.9899702560532777,66109.58515234885,54039.58544415079,5.3262625384047455,4.969502345210394,1.1222018233135076,0.9220895339350811,2.0,0.4255439919225431
80,100.0,86.0,14.0,75.0,61.0,14.0,12180.08847379279,396964.44937652966,1032896.5772357259,2.601987605837218,75518.45265796651,63701.40926052128,6.20015633059278,5.7538417170286005,1.2819161558991237,1.0862780261165141,2.0,0.4890244476118238
81,100.0,86.0,14.0,80.0,66.0,14.0,11983.84133139998,454545.4310198262,1033229.7220070703,2.2731055060632723,86382.96538859863,74776.69449494405,7.20828680885974,6.650512493314859,1.4663398815605604,1.274235064489085,2.0,0.5597267300807294
