index, T_sto_HT [K], T_sto_LT [K], glide [K], W_dot_exp [W], p_ev [Pa], p_cd [Pa], rp_exp [-], Q_dot_cd [W], Q_dot_ev [W], eta_ORC [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], T_tap [K], Nb_exp [-], m_dot_r [kg/s]
42,50.0,330.15,7.0,-98.64062861131185,251672.54816211117,114634.31261809006,2.1954381931051556,36608.64270425463,37092.40405671854,-0.002659321527407041,1.2506421810413475,1.26761520777229,20.0,3.0,0.1693485177388842
43,50.0,332.15,9.0,-159.92406968079956,231813.88114998143,114870.75676232539,2.018040863347131,11289.741363834388,11292.786249839704,-0.014161613099076377,0.3000105360099445,0.30017979594773453,20.0,1.0,0.052159970098847284
44,50.0,332.15,9.0,-193.8813999244004,241591.34694284064,114713.63714603861,2.1060385927374763,23476.53790104412,23655.29731970688,-0.008196109197193673,0.6238591737727732,0.6287945388688638,20.0,2.0,0.10854495243664246
45,50.0,332.15,9.0,-296.05477800812037,241457.66225574273,114794.87290465148,2.1033836803521466,35198.66400988489,35492.29398797396,-0.008341381881611659,0.9353597851468384,0.9434402928841638,20.0,3.0,0.16273081760154548
46,50.0,334.15,11.0,-234.1431822525258,221720.47538396192,115863.65880960942,1.9136326063058267,10835.753678952584,10772.244465236277,-0.02173578431200133,0.23561544760862033,0.23429165569297958,20.0,1.0,0.04997696757257265
47,50.0,334.15,11.0,-458.6164660945275,220877.20363226868,114958.0611788973,1.9213720322626213,21577.081473773524,21510.686379060047,-0.021320401311832413,0.46917767422175677,0.4678481205199663,20.0,2.0,0.09958894969197632
48,50.0,334.15,11.0,-689.7719904010357,220683.92241495737,114904.97490067547,1.920577612986016,32337.540204407866,32260.05488075282,-0.021381612429077778,0.7031558888813548,0.7016422339048897,20.0,3.0,0.14925793271108662
49,50.0,336.15,13.0,-291.21742397190565,211077.3032908254,115019.35846168968,1.8351458929509714,10340.47877312053,10229.832920964878,-0.02846746630388153,0.1902707242070694,0.18827253196013138,20.0,1.0,0.04767233188760793
50,50.0,336.15,13.0,-591.0145173096168,210525.04810845415,115094.78310626865,1.829145009240544,20631.87117177318,20443.614976378078,-0.02890949169178321,0.3796382310463916,0.376249659574863,20.0,2.0,0.09510533242176943
51,50.0,336.15,13.0,-888.0903639970049,210341.63107063196,115039.02442645046,1.828437194415819,30921.086317487076,30657.470956405472,-0.0289681547854961,0.5689656751862463,0.5642281477176108,20.0,3.0,0.14253876176582264
